year,field,unemployment_rate,graduates_supply_index,jobs_demand_index
2015,Engineering,15.2,100.0,105.0
2016,Engineering,16.1,108.3,107.5
2017,Engineering,17.8,117.4,110.2
2018,Engineering,18.5,127.1,112.8
2019,Engineering,19.2,137.9,115.5
2020,Engineering,21.4,149.8,113.2
2015,Medicine,8.5,100.0,110.0
2016,Medicine,8.2,102.1,112.5
2017,Medicine,7.9,104.4,115.1
2018,Medicine,8.1,106.8,117.8
2019,Medicine,8.5,109.4,120.6
2020,Medicine,9.2,112.1,118.3
2015,Law,22.3,100.0,85.0
2016,Law,23.5,105.2,84.1
2017,Law,25.1,110.7,82.9
2018,Law,26.8,116.5,81.5
2019,Law,28.2,122.6,80.2
2020,Law,30.1,129.0,78.1
